Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,0.5
Temperature Correction,0.0
Reference diff Voltage,200.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS0,54400
PS1,54400
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,5V,12V,10.38V,-12V,PS,61.3V
8.8800,27.3750,10.2400,0.0466,5.0375,11.9089,10.5793,-11.9866,57.2509,62.7390
9.0000,27.3750,10.2400,0.0519,5.0375,11.8993,10.5793,-11.9859,57.2426,62.7420
9.1200,27.3750,10.2400,0.0609,5.0188,11.9089,10.5793,-11.9859,57.2323,62.7450
9.2400,27.3125,10.2400,0.0787,5.0372,11.9013,10.5793,-11.9859,57.2344,62.7360
9.3600,27.3125,10.2400,0.0541,5.0381,11.9047,10.5793,-11.9866,57.2323,62.7420
9.4800,27.3750,10.2400,0.0672,5.0375,11.9075,10.5786,-11.9859,57.2447,62.7390
9.6000,27.3750,10.2400,0.0459,5.0384,11.9041,10.5793,-11.9859,57.2323,62.7450
9.7200,27.3750,10.2400,0.0631,5.0287,11.9082,10.5793,-11.9866,57.2323,62.7390
9.8400,27.3750,10.2400,0.0806,5.0372,11.9068,10.5793,-11.9859,57.2467,62.7420
9.9600,27.3750,10.2400,0.0609,5.0381,11.9082,10.5793,-11.9866,57.2344,62.7420
10.0800,27.3750,10.2400,0.0628,5.0375,11.9089,10.5793,-11.9866,57.2199,62.7390
10.2000,27.3750,10.2400,0.0591,5.0188,11.9061,10.5786,-11.9866,57.2344,62.7450
10.3200,27.3750,10.2400,0.0522,5.0372,11.9109,10.5799,-11.9859,57.2344,62.7420
10.4400,27.3750,10.2400,0.0859,5.0391,11.9047,10.5799,-11.9866,57.2344,62.7390
10.5600,27.3750,10.2400,0.0594,5.0375,11.9082,10.5799,-11.9859,57.2447,62.7420
10.6800,27.3750,10.2400,0.0350,5.0381,11.9096,10.5799,-11.9866,57.2467,62.7360
10.8000,27.3750,10.2400,0.1019,5.0384,11.9041,10.5793,-11.9859,57.2467,62.7450
10.9200,27.3750,10.2400,0.0572,5.0384,11.9082,10.5799,-11.9859,57.1539,62.7420
11.0400,27.3750,10.2400,0.0694,5.0378,11.9034,10.5799,-11.9859,57.2364,62.7420
11.1600,27.3750,10.2400,0.0569,5.0403,11.9061,10.5793,-11.9866,57.2179,62.7360
11.2800,27.3750,10.2400,0.0531,5.0237,11.9047,10.5799,-11.9859,57.2323,62.7420
11.4000,27.3750,10.2400,0.0528,5.0188,11.9068,10.5793,-11.9866,57.2488,62.7450
11.5200,27.3750,10.2400,0.0509,5.0363,11.9082,10.5793,-11.9866,57.2426,62.7390
11.6400,27.3750,10.2400,0.0434,5.0375,11.9082,10.5786,-11.9859,57.2323,62.7450
11.7600,27.3750,10.2400,0.0525,5.0369,11.9047,10.5793,-11.9859,57.2447,62.7420
11.8800,27.3750,10.2400,0.0716,5.0188,11.9096,10.5799,-11.9866,57.1869,62.7450
12.0000,27.3750,10.2400,0.0703,5.0388,11.9089,10.5799,-11.9859,57.2323,62.7420
12.1200,27.3750,10.2400,0.0688,5.0388,11.9109,10.5799,-11.9859,57.2509,62.7390
12.2400,27.3750,10.2400,0.0675,5.0188,11.8993,10.5793,-11.9879,57.2447,62.7450
12.3600,27.3750,10.2400,0.0572,5.0372,11.9089,10.5799,-11.9859,57.2426,62.7450
12.4800,27.4375,10.2400,0.0584,5.0381,11.9109,10.5793,-11.9859,57.2323,62.7450
12.6000,27.4375,10.2400,0.0672,5.0375,11.9047,10.5799,-11.9866,57.1869,62.7390
12.7200,27.3750,10.2400,0.0594,5.0375,11.9075,10.5793,-11.9866,57.1849,62.7450
12.8400,27.3750,10.2400,0.0566,5.0369,11.9075,10.5793,-11.9866,57.2323,62.7420
12.9600,27.3750,10.2400,0.0619,5.0375,11.9082,10.5793,-11.9866,57.2323,62.7390
13.0800,27.3125,10.2400,0.0650,5.0188,11.9068,10.5793,-11.9859,57.2323,62.7450
13.2000,27.3125,10.2400,0.0766,5.0372,11.9082,10.5793,-11.9859,57.2323,62.7420
13.3200,27.3750,10.2400,0.0600,5.0375,11.9068,10.5793,-11.9866,57.2199,62.7450
13.4400,27.3750,10.2400,0.5253,5.0188,11.9109,10.5793,-11.9859,57.2467,62.7420
13.5600,27.3750,10.2400,6.2391,5.0375,11.9075,10.5799,-11.9859,57.2323,62.7390
13.6800,27.3750,10.2400,6.2747,5.0375,11.9068,10.5793,-11.9859,57.2323,62.7450
13.8000,27.3750,10.2400,6.3428,5.0188,11.9089,10.5799,-11.9866,57.2509,62.7420
13.9200,27.3750,10.2400,6.2906,5.0372,11.9082,10.5793,-11.9859,57.2467,62.7420
14.0400,27.3750,10.2400,6.2834,5.0378,11.9068,10.5793,-11.9859,57.2467,62.7390
14.1600,27.3750,10.2400,6.2794,5.0375,11.9157,10.5793,-11.9866,57.1539,62.7450
14.2800,27.3750,10.2400,6.2775,5.0188,11.9075,10.5793,-11.9859,57.2364,62.7420
14.4000,27.3750,10.2400,6.2897,5.0406,11.9075,10.5793,-11.9866,57.2199,62.7390
14.5200,27.3750,10.2400,6.3063,5.0188,11.9041,10.5793,-11.9866,57.2323,62.7450
14.6400,27.3750,10.2400,6.1256,5.0237,11.9157,10.5799,-11.9866,57.2323,62.7390
14.7600,27.3750,10.2400,6.0578,5.0188,11.9047,10.5799,-11.9866,57.2509,62.7420
14.8800,27.3750,10.2400,6.1534,5.0391,11.9082,10.5793,-11.9859,57.1869,62.7420
15.0000,27.3750,10.2400,6.2741,5.0375,11.9068,10.5799,-11.9866,57.2344,62.7390
15.1200,27.3750,10.2400,6.3172,5.0262,11.9075,10.5786,-11.9866,57.2199,62.7450
15.2400,27.3125,10.2400,6.2772,5.0372,11.9082,10.5793,-11.9866,57.2323,62.7420
15.3600,27.3125,10.2400,6.2972,5.0262,11.9109,10.5793,-11.9859,57.1869,62.7420
15.4800,27.3125,10.2400,6.3016,5.0275,11.9109,10.5799,-11.9852,57.2323,62.7390
15.6000,27.3750,10.2400,6.2722,5.0375,11.9164,10.5786,-11.9859,57.1704,62.7420
15.7200,27.3750,10.2400,6.2762,5.0359,11.9082,10.5793,-11.9866,57.2323,62.7450
15.8400,27.3750,10.2400,6.2575,5.0188,11.9089,10.5799,-11.9859,57.2199,62.7390
15.9600,27.3750,10.2400,6.2766,5.0372,11.9041,10.5793,-11.9859,57.1869,62.7450
16.0800,27.3750,10.2400,6.2856,5.0188,11.9041,10.5793,-11.9859,57.1869,62.7420
16.2000,27.3750,10.2400,6.3212,5.0262,11.9020,10.5786,-11.9859,57.1539,62.7450
