Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,1.0
Temperature Correction,0.0
Reference diff Voltage,1000.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS,57000
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,PS,-12V,5V,10.58V
8.0000,28.1250,0.1076,0.1121,57.0016,10.6165,5.0182,9.6143
8.1000,28.1250,0.1091,0.1373,57.0016,10.6165,5.0179,9.6143
8.2000,28.1250,0.1133,0.1140,57.0040,10.6165,5.0181,9.6143
8.3000,28.1250,0.0945,0.1271,57.0016,10.6165,5.0179,9.6143
8.4000,28.1875,0.1249,0.1196,57.0016,10.6165,5.0182,9.6143
8.5000,28.1875,0.0803,0.1140,57.0040,10.6165,5.0182,9.6143
8.6000,28.1875,0.1058,0.1388,57.0016,10.6165,5.0182,9.6143
8.7000,28.1875,0.1144,0.1436,57.0016,10.6165,5.0182,9.6143
8.8000,28.1875,0.0889,0.1234,57.0016,10.6165,5.0182,9.6143
8.9000,28.1250,0.1084,0.1283,57.0040,10.6165,5.0182,9.6143
9.0000,28.1250,0.1088,0.1234,57.0016,10.6165,5.0182,9.6143
9.1000,28.1875,0.1163,0.1140,57.0016,10.6165,5.0182,9.6143
9.2000,28.1875,0.0926,0.1058,57.0040,10.6169,5.0182,9.6143
9.3000,28.1875,0.1061,0.1204,57.0016,10.6165,5.0175,9.6139
9.4000,28.1875,0.1054,0.1388,57.0016,10.6165,5.0182,9.6143
9.5000,28.1875,0.1125,0.1035,57.0040,10.6165,5.0182,9.6143
9.6000,28.1250,0.0870,0.1271,57.0016,10.6165,5.0182,9.6143
9.7000,28.1250,0.1103,0.1395,57.0040,10.6165,5.0182,9.6143
9.8000,28.1250,0.1121,0.1117,57.0016,10.6165,5.0182,9.6143
9.9000,28.1250,0.1099,0.1136,57.0040,10.6165,5.0182,9.6143
10.0000,28.1250,0.1151,0.1215,57.0040,10.6165,5.0182,9.6143
10.1000,28.1250,0.1151,0.1256,57.0040,10.6165,5.0182,9.6143
10.2000,28.1250,0.1189,0.1252,57.0040,10.6165,5.0182,9.6143
10.3000,28.1875,0.1013,0.1343,57.0016,10.6165,5.0181,9.6143
10.4000,28.1875,0.1103,0.1346,57.0040,10.6165,5.0182,9.6143
10.5000,28.1875,0.1072,0.1294,57.0040,10.6165,5.0182,9.6143
10.6000,28.1250,0.1283,0.1185,57.0016,10.6165,5.0182,9.6143
10.7000,28.1250,0.1050,0.1140,57.0016,10.6165,5.0182,9.6143
10.8000,28.1875,0.1121,0.1260,57.0016,10.6165,5.0181,9.6143
10.9000,28.1875,0.0997,0.1129,57.0040,10.6165,5.0182,9.6146
11.0000,28.1875,0.1170,0.1204,57.0040,10.6165,5.0181,9.6143
11.1000,28.1875,0.1080,0.1151,57.0016,10.6165,5.0182,9.6143
11.2000,28.1875,0.1181,0.1204,57.0040,10.6165,5.0182,9.6143
11.3000,28.1250,0.1260,0.1316,57.0016,10.6165,5.0181,9.6143
11.4000,28.1250,0.0949,0.1331,57.0016,10.6165,5.0182,9.6143
11.5000,28.1250,0.1170,0.1271,57.0040,10.6165,5.0182,9.6143
11.6000,28.1250,0.1069,0.1331,57.0040,10.6165,5.0182,9.6143
11.7000,28.1250,0.0971,0.1301,57.0040,10.6165,5.0182,9.6143
11.8000,28.1875,0.1028,0.1402,57.0016,10.6165,5.0175,9.6143
11.9000,28.1875,0.1174,0.1035,57.0016,10.6165,5.0182,9.6143
12.0000,28.1875,0.1024,0.1260,57.0016,10.6165,5.0181,9.6143
12.1000,28.1875,0.0866,0.1125,57.0040,10.6165,5.0182,9.6143
12.2000,28.1875,0.1009,0.1061,57.0040,10.6165,5.0182,9.6143
12.3000,28.1250,0.1208,0.1088,57.0016,10.6165,5.0182,9.6143
12.4000,28.1250,0.1170,0.1241,57.0016,10.6165,5.0182,9.6143
12.5000,28.1250,0.1099,0.1200,57.0016,10.6165,5.0182,9.6143
12.6000,28.1250,0.1024,0.1058,57.0016,10.6165,5.0182,9.6143
12.7000,28.1250,0.1211,0.1395,57.0016,10.6165,5.0182,9.6143
12.8000,28.1250,0.1185,0.1166,57.0016,10.6165,5.0182,9.6143
12.9000,28.1250,0.1279,0.1256,57.0016,10.6165,5.0182,9.6143
13.0000,28.1250,0.0953,0.1192,57.0016,10.6165,5.0182,9.6143
13.1000,28.1250,0.1181,0.1294,57.0040,10.6169,5.0182,9.6143
13.2000,28.1250,0.1031,0.1211,57.0040,10.6165,5.0182,9.6143
13.3000,28.1250,0.1009,0.1166,57.0040,10.6165,5.0177,9.6143
13.4000,28.1250,0.1159,0.1103,57.0016,10.6165,5.0181,9.6143
13.5000,28.1875,0.1151,0.1192,57.0016,10.6165,5.0182,9.6143
13.6000,28.1875,0.1192,0.1174,57.0040,10.6165,5.0182,9.6143
13.7000,28.1875,0.1072,0.1357,57.0040,10.6165,5.0182,9.6143
13.8000,28.1875,0.1024,0.1166,57.0016,10.6165,5.0181,9.6146
13.9000,28.1875,0.1309,0.1155,57.0016,10.6165,5.0182,9.6143
14.0000,28.1250,0.1091,0.1305,57.0016,10.6165,5.0182,9.6143
14.1000,28.1250,0.1084,0.1369,57.0016,10.6165,5.0182,9.6143
14.2000,28.1250,0.1061,0.1136,57.0016,10.6165,5.0182,9.6143
14.3000,28.1250,0.1136,0.1234,57.0016,10.6165,5.0182,9.6143
14.4000,28.1250,0.1136,0.1013,57.0016,10.6165,5.0182,9.6143
14.5000,28.1875,0.0911,0.1245,57.0040,10.6165,5.0182,9.6143
14.6000,28.1875,0.1042,0.1147,57.0040,10.6165,5.0182,9.6143
14.7000,28.1250,0.0971,0.1222,57.0016,10.6165,5.0182,9.6143
14.8000,28.1250,0.0975,0.1166,57.0016,10.6165,5.0182,9.6143
14.9000,28.1250,0.1039,0.1005,57.0016,10.6165,5.0182,9.6143
15.0000,28.1250,0.1001,0.1395,57.0040,10.6165,5.0182,9.6143
15.1000,28.1250,0.0994,0.1283,57.0040,10.6165,5.0182,9.6143
15.2000,28.1875,0.0945,0.1297,57.0016,10.6165,5.0182,9.6143
15.3000,28.1875,0.1185,0.1238,57.0016,10.6165,5.0182,9.6143
15.4000,28.1875,0.1020,0.1200,57.0040,10.6165,5.0182,9.6146
15.5000,28.1875,0.1005,0.1177,57.0016,10.6165,5.0182,9.6143
15.6000,28.1875,0.1215,0.1324,57.0040,10.6165,5.0182,9.6143
15.7000,28.1875,0.0960,0.1058,57.0016,10.6165,5.0182,9.6143
15.8000,28.1875,0.1114,0.1174,57.0016,10.6165,5.0179,9.6139
15.9000,28.1250,0.0934,0.0971,57.0016,10.6165,5.0182,9.6143
16.0000,28.1250,0.0791,0.1181,57.0016,10.6165,5.0182,9.6143
16.1000,28.1250,0.0983,0.1279,57.0016,10.6165,5.0182,9.6143
16.2000,28.1250,0.1039,0.1331,57.0040,10.6165,5.0181,9.6143
16.3000,28.1250,0.1110,0.1088,57.0016,10.6165,5.0182,9.6143
16.4000,28.1250,0.1106,0.1001,57.0040,10.6165,5.0182,9.6143
16.5000,28.1250,0.0866,0.1024,57.0016,10.6165,5.0182,9.6143
16.6000,28.1250,0.0994,0.1121,57.0016,10.6165,5.0182,9.6143
16.7000,28.1250,0.0967,0.1192,57.0016,10.6165,5.0182,9.6143
16.8000,28.1250,0.0983,0.1245,57.0016,10.6165,5.0182,9.6143
16.9000,28.1250,0.0975,0.1136,57.0016,10.6165,5.0182,9.6143
17.0000,28.1250,0.0967,0.1200,57.0016,10.6165,5.0181,9.6143
17.1000,28.1250,0.0874,0.1174,57.0016,10.6165,5.0182,9.6143
17.2000,28.1250,0.1196,0.1238,57.0016,10.6165,5.0182,9.6143
17.3000,28.1250,0.1069,0.1084,57.0016,10.6165,5.0182,9.6143
17.4000,28.1875,0.0994,0.1245,57.0016,10.6165,5.0182,9.6143
17.5000,28.1875,0.0964,0.1133,57.0040,10.6165,5.0182,9.6143
17.6000,28.1250,0.0896,0.1159,57.0040,10.6165,5.0182,9.6143
17.7000,28.1250,0.0967,0.1050,57.0016,10.6165,5.0182,9.6143
17.8000,28.1250,0.1046,0.1110,57.0016,10.6165,5.0181,9.6143
17.9000,28.1250,0.0825,0.1001,57.0040,10.6165,5.0182,9.6143
18.0000,28.1250,0.0979,0.1219,57.0016,10.6165,5.0182,9.6146
18.1000,28.1250,0.0878,0.1335,57.0040,10.6165,5.0182,9.6143
18.2000,28.1250,0.1200,0.1035,57.0016,10.6165,5.0182,9.6143
18.3000,28.1250,0.0746,0.1200,57.0040,10.6165,5.0182,9.6143
18.4000,28.1875,0.0919,0.1005,57.0040,10.6165,5.0182,9.6143
18.5000,28.1875,0.0930,0.1095,57.0040,10.6165,5.0182,9.6143
18.6000,28.1875,0.1009,0.1230,57.0016,10.6165,5.0182,9.6143
18.7000,28.1875,0.1110,0.1114,57.0040,10.6165,5.0182,9.6143
18.8000,28.1875,0.0941,0.1072,57.0016,10.6165,5.0181,9.6143
18.9000,28.1875,0.0956,0.1140,57.0016,10.6165,5.0182,9.6143
19.0000,28.1875,0.0934,0.1155,57.0016,10.6165,5.0182,9.6143
19.1000,28.1250,0.0994,0.1099,57.0016,10.6165,5.0182,9.6143
19.2000,28.1250,0.1140,0.1211,57.0016,10.6165,5.0182,9.6143
19.3000,28.1250,0.1035,0.1260,57.0016,10.6165,5.0182,9.6143
19.4000,28.1250,0.1121,0.1215,57.0016,10.6165,5.0182,9.6143
19.5000,28.1250,0.1031,0.1485,57.0016,10.6165,5.0182,9.6143
19.6000,28.1250,0.1046,0.1163,57.0016,10.6165,5.0182,9.6146
19.7000,28.1250,0.1061,0.1324,57.0040,10.6165,5.0182,9.6143
19.8000,28.1875,0.1241,0.1268,57.0016,10.6165,5.0182,9.6143
19.9000,28.1875,0.1163,0.1245,57.0016,10.6165,5.0181,9.6143
20.0000,28.1875,0.1031,0.1249,57.0040,10.6165,5.0181,9.6143
20.1000,28.1250,0.1024,0.1249,57.0016,10.6165,5.0182,9.6143
