Save File As,Custom
File Name,longtemp2
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,1.0
Temperature Correction,0.0
Reference diff Voltage,1000.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS,57000
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,PS,-12V,5V,10.58V
725.6000,26.3125,0.4939,10.1490,57.0064,10.6206,5.0184,9.6135
725.7000,26.3125,0.4995,10.2930,57.0040,10.6206,5.0182,9.6135
725.8000,26.3125,0.5104,10.1302,57.0040,10.6206,5.0184,9.6135
725.9000,26.3125,0.5272,10.1779,57.0040,10.6210,5.0184,9.6135
726.0000,26.3125,0.5107,10.1501,57.0064,10.6206,5.0184,9.6135
726.1000,26.3125,0.4991,10.1783,57.0064,10.6206,5.0184,9.6135
726.2000,26.3125,0.5063,10.1809,57.0040,10.6206,5.0182,9.6135
726.3000,26.3125,0.4980,10.1610,57.0040,10.6206,5.0184,9.6135
726.4000,26.3125,0.4931,10.1475,57.0040,10.6206,5.0184,9.6135
726.5000,26.3125,0.5359,10.1543,57.0064,10.6210,5.0182,9.6135
726.6000,26.3125,0.4991,10.1974,57.0040,10.6206,5.0184,9.6135
726.7000,26.3125,0.5051,10.0819,57.0040,10.6210,5.0184,9.6135
726.8000,26.3750,0.4894,10.1430,57.0064,10.6206,5.0184,9.6135
726.9000,26.3750,0.4999,10.1820,57.0064,10.6206,5.0182,9.6135
727.0000,26.3750,0.5040,10.1220,57.0040,10.6206,5.0184,9.6135
727.1000,26.3125,0.4954,10.1464,57.0040,10.6206,5.0182,9.6135
727.2000,26.3125,0.4950,10.1516,57.0040,10.6206,5.0184,9.6135
727.3000,26.3125,0.5153,10.4040,57.0064,10.6206,5.0182,9.6135
727.4000,26.3125,0.4789,10.1565,57.0040,10.6206,5.0182,9.6135
727.5000,26.3125,0.5100,10.1734,57.0040,10.6206,5.0184,9.6135
727.6000,26.3750,0.5201,10.3770,57.0040,10.6206,5.0184,9.6135
727.7000,26.3750,0.5048,10.1370,57.0064,10.6206,5.0184,9.6135
727.8000,26.3125,0.5107,10.1670,57.0040,10.6206,5.0184,9.6135
727.9000,26.3125,0.5291,10.2780,57.0040,10.6206,5.0184,9.6135
728.0000,26.3125,0.4909,10.1509,57.0040,10.6206,5.0184,9.6135
728.1000,26.3125,0.5089,10.1730,57.0064,10.6206,5.0184,9.6135
728.2000,26.3125,0.5197,10.2397,57.0040,10.6210,5.0182,9.6135
728.3000,26.3125,0.4954,10.1554,57.0040,10.6206,5.0184,9.6135
728.4000,26.3125,0.4837,10.1820,57.0040,10.6206,5.0184,9.6135
728.5000,26.3125,0.5254,10.1779,57.0064,10.6206,5.0182,9.6135
728.6000,26.3125,0.5107,10.1370,57.0040,10.6206,5.0182,9.6135
728.7000,26.3125,0.5085,10.2210,57.0064,10.6206,5.0184,9.6135
728.8000,26.3125,0.5119,10.1861,57.0040,10.6206,5.0184,9.6135
728.9000,26.3125,0.5134,10.1430,57.0040,10.6206,5.0184,9.6135
729.0000,26.3125,0.5179,10.1876,57.0064,10.6206,5.0182,9.6135
729.1000,26.3125,0.5362,10.1610,57.0064,10.6206,5.0182,9.6135
729.2000,26.3125,0.5201,10.1205,57.0064,10.6206,5.0182,9.6135
729.3000,26.3125,0.5164,10.1917,57.0064,10.6206,5.0184,9.6135
729.4000,26.3125,0.5175,10.1730,57.0040,10.6206,5.0184,9.6135
729.5000,26.3125,0.5044,10.1490,57.0040,10.6206,5.0182,9.6135
729.6000,26.3125,0.4950,10.1482,57.0040,10.6206,5.0184,9.6135
729.7000,26.3125,0.5220,10.1130,57.0040,10.6206,5.0182,9.6135
729.8000,26.3125,0.5044,10.0946,57.0040,10.6206,5.0184,9.6135
729.9000,26.3125,0.5306,10.1970,57.0064,10.6206,5.0184,9.6135
730.0000,26.2500,0.4931,10.1888,57.0040,10.6206,5.0184,9.6135
730.1000,26.2500,0.5153,10.3230,57.0040,10.6206,5.0182,9.6135
730.2000,26.2500,0.5107,10.1220,57.0064,10.6206,5.0184,9.6135
730.3000,26.3125,0.5010,10.2128,57.0064,10.6206,5.0184,9.6135
730.4000,26.3125,0.5220,10.2941,57.0064,10.6206,5.0182,9.6135
730.5000,26.3125,0.4969,10.1610,57.0040,10.6206,5.0184,9.6135
730.6000,26.3125,0.5040,10.1700,57.0064,10.6206,5.0182,9.6135
730.7000,26.3125,0.5070,10.2409,57.0064,10.6206,5.0182,9.6135
730.8000,26.3125,0.5220,10.1730,57.0040,10.6206,5.0184,9.6135
730.9000,26.3125,0.5029,10.2026,57.0040,10.6210,5.0184,9.6135
731.0000,26.3125,0.5092,10.1381,57.0040,10.6206,5.0184,9.6135
731.1000,26.3125,0.5213,10.1475,57.0040,10.6206,5.0184,9.6135
731.2000,26.3125,0.5164,10.1846,57.0040,10.6206,5.0182,9.6135
731.3000,26.3125,0.5156,10.2026,57.0040,10.6206,5.0184,9.6135
731.4000,26.3125,0.5063,10.1051,57.0064,10.6206,5.0182,9.6135
731.5000,26.3125,0.5081,10.1771,57.0040,10.6206,5.0182,9.6135
731.6000,26.3125,0.5115,10.1426,57.0040,10.6206,5.0182,9.6135
731.7000,26.3125,0.5070,10.1250,57.0040,10.6206,5.0184,9.6135
731.8000,26.3125,0.5209,10.1854,57.0040,10.6206,5.0184,9.6135
731.9000,26.3125,0.5029,10.1730,57.0040,10.6206,5.0182,9.6135
732.0000,26.3125,0.5074,10.0586,57.0040,10.6206,5.0184,9.6135
732.1000,26.3125,0.5036,10.2026,57.0040,10.6206,5.0182,9.6135
732.2000,26.3125,0.5044,10.1595,57.0040,10.6206,5.0184,9.6135
732.3000,26.3125,0.5216,10.3984,57.0040,10.6210,5.0182,9.6135
732.4000,26.3125,0.5134,10.1610,57.0064,10.6206,5.0184,9.6135
732.5000,26.3125,0.5085,10.1610,57.0040,10.6210,5.0184,9.6135
732.6000,26.3125,0.5048,10.3421,57.0040,10.6206,5.0184,9.6135
732.7000,26.3750,0.5014,10.1460,57.0064,10.6206,5.0184,9.6135
732.8000,26.3750,0.5321,10.2439,57.0040,10.6206,5.0184,9.6135
732.9000,26.3125,0.4950,10.2390,57.0064,10.6206,5.0184,9.6135
733.0000,26.3125,0.5044,10.1617,57.0040,10.6206,5.0184,9.6135
733.1000,26.3125,0.5153,10.1730,57.0040,10.6206,5.0184,9.6135
733.2000,26.3750,0.4980,10.1749,57.0040,10.6206,5.0184,9.6135
733.3000,26.3750,0.5190,10.1546,57.0040,10.6206,5.0184,9.6135
733.4000,26.3750,0.5156,10.1539,57.0064,10.6206,5.0182,9.6135
733.5000,26.3750,0.5119,10.1876,57.0040,10.6206,5.0184,9.6135
733.6000,26.3750,0.5171,10.1269,57.0040,10.6206,5.0182,9.6135
733.7000,26.3125,0.5239,10.1914,57.0040,10.6206,5.0184,9.6135
733.8000,26.3125,0.5231,10.1790,57.0040,10.6210,5.0182,9.6135
733.9000,26.3125,0.5344,10.0830,57.0064,10.6206,5.0184,9.6135
734.0000,26.3125,0.5242,10.2131,57.0040,10.6206,5.0182,9.6135
734.1000,26.3125,0.5089,10.2090,57.0064,10.6210,5.0184,9.6135
734.2000,26.3125,0.4864,10.1250,57.0064,10.6206,5.0182,9.6135
734.3000,26.3125,0.4939,10.1595,57.0064,10.6206,5.0184,9.6135
