Save File As,Default
File Name,default
Test Time,1000
Show Relative Dose,FALSE
Calibration Factor,1.0
Temperature Correction,0.0
Reference diff Voltage,1000.0
Integrator Mode,TRUE
Integration Time,160
Reset Time,500
Facility,Blue Physics
Investigator,Marcos
Source,Light
Brand,Elekta
Particles,Photons
Energy,6
Dose Rate,300
Gantry,0
Collimator,0
Couch,0
Field Size X1,5.0
Field Size X2,5.0
Field Size Y1,6.4
Field Size Y2,5.0
Ion Chamber,199.5
Setup,SSD
Distance,100
MU,100
PS,57000
Transducer Type,MPPC S13360-1325CS
Sensor Type,Fiber
Sensor Size,3
Fiber Diameter,0.25
Fiber Length,99
Sensor Position X,0.0
Sensor Position Y,0.0
Sensor Position Z,0.0
Reference Fiber Diameter,0.25
Reference Fiber Length,99
Comments,Test
time,temp,ch0,ch1,PS,-12V,5V,10.58V
13.0000,25.1250,-0.0274,-0.0596,57.0064,10.6268,5.0198,9.6135
13.1000,25.1250,-0.0150,-0.0457,57.0064,10.6268,5.0196,9.6135
13.2000,25.1250,-0.0289,-0.0499,57.0064,10.6268,5.0196,9.6135
13.3000,25.1250,-0.0382,-0.0499,57.0064,10.6268,5.0196,9.6135
13.4000,25.1250,-0.0315,-0.0604,57.0064,10.6268,5.0196,9.6135
13.5000,25.1250,-0.0158,-0.0424,57.0064,10.6268,5.0198,9.6135
13.6000,25.1875,-0.0158,-0.0709,57.0064,10.6268,5.0196,9.6135
13.7000,25.1875,-0.0311,-0.0428,57.0064,10.6268,5.0196,9.6135
13.8000,25.1875,-0.0424,-0.0450,57.0089,10.6268,5.0196,9.6135
13.9000,25.1875,-0.0390,-0.0532,57.0089,10.6268,5.0196,9.6135
14.0000,25.1875,-0.0382,-0.0420,57.0064,10.6268,5.0196,9.6135
14.1000,25.1875,-0.0285,-0.0503,57.0089,10.6268,5.0196,9.6135
14.2000,25.1875,-0.0221,-0.0364,57.0064,10.6268,5.0196,9.6135
14.3000,25.1250,-0.0401,-0.0649,57.0089,10.6268,5.0198,9.6135
14.4000,25.1250,-0.0229,-0.0435,57.0089,10.6264,5.0196,9.6135
14.5000,25.1250,-0.0150,-0.0454,57.0089,10.6268,5.0196,9.6135
14.6000,25.1250,-0.0304,-0.0484,57.0064,10.6268,5.0196,9.6135
14.7000,25.1250,-0.0375,-0.0622,57.0064,10.6268,5.0196,9.6135
14.8000,25.1250,-0.0382,-0.0529,57.0064,10.6268,5.0196,9.6135
14.9000,25.1250,-0.0394,-0.0626,57.0089,10.6268,5.0196,9.6135
15.0000,25.1875,-0.0431,-0.0686,57.0089,10.6268,5.0196,9.6135
15.1000,25.1875,-0.0341,-0.0547,57.0089,10.6268,5.0196,9.6135
15.2000,25.1875,-0.0446,-0.0589,57.0089,10.6268,5.0196,9.6135
15.3000,25.1875,-0.0484,-0.0637,57.0064,10.6264,5.0196,9.6135
15.4000,25.1875,-0.0206,-0.0506,57.0064,10.6268,5.0196,9.6135
15.5000,25.1875,-0.0300,-0.0551,57.0089,10.6268,5.0196,9.6135
15.6000,25.1875,-0.0278,-0.0424,57.0089,10.6268,5.0196,9.6135
15.7000,25.1875,-0.0454,-0.0611,57.0064,10.6268,5.0196,9.6135
15.8000,25.1875,-0.0394,-0.0712,57.0064,10.6268,5.0196,9.6135
15.9000,25.1875,-0.0296,-0.0540,57.0064,10.6268,5.0196,9.6135
16.0000,25.1875,-0.0217,-0.0555,57.0064,10.6268,5.0196,9.6135
16.1000,25.1875,-0.0469,-0.0495,57.0089,10.6268,5.0196,9.6135
16.2000,25.1875,-0.0450,-0.0562,57.0089,10.6268,5.0196,9.6135
16.3000,25.1875,-0.0334,-0.0532,57.0064,10.6264,5.0196,9.6135
16.4000,25.1875,-0.0304,-0.0536,57.0064,10.6268,5.0196,9.6135
16.5000,25.1875,-0.0457,-0.0559,57.0089,10.6268,5.0196,9.6135
16.6000,25.1875,-0.0334,-0.0630,57.0089,10.6268,5.0196,9.6135
16.7000,25.1875,-0.0375,-0.0574,57.0064,10.6268,5.0196,9.6135
16.8000,25.1875,-0.0251,-0.0529,57.0064,10.6268,5.0196,9.6135
16.9000,25.1875,-0.0367,-0.0416,57.0089,10.6268,5.0196,9.6135
17.0000,25.1875,-0.0172,-0.0465,57.0064,10.6264,5.0196,9.6135
17.1000,25.1875,-0.0428,-0.0637,57.0064,10.6264,5.0196,9.6135
17.2000,25.1875,-0.0428,-0.0746,57.0089,10.6268,5.0196,9.6135
17.3000,25.1875,-0.0397,-0.0724,57.0064,10.6268,5.0196,9.6135
17.4000,25.1875,-0.0465,-0.0641,57.0089,10.6268,5.0196,9.6135
17.5000,25.1875,-0.0176,-0.0660,57.0089,10.6268,5.0196,9.6135
17.6000,25.1875,-0.0101,-0.0465,57.0089,10.6268,5.0196,9.6131
17.7000,25.1250,-0.0233,-0.0574,57.0089,10.6268,5.0196,9.6135
17.8000,25.1250,-0.0131,-0.0454,57.0064,10.6264,5.0196,9.6135
17.9000,25.1250,-0.0161,-0.0461,57.0064,10.6268,5.0196,9.6135
18.0000,25.1250,-0.0184,-0.0506,57.0064,10.6264,5.0196,9.6135
18.1000,25.1250,-0.0229,-0.0649,57.0064,10.6268,5.0196,9.6135
18.2000,25.1875,-0.0214,-0.0540,57.0064,10.6268,5.0196,9.6135
18.3000,25.1875,-0.0229,-0.0574,57.0064,10.6268,5.0196,9.6135
18.4000,25.1875,-0.0428,-0.0547,57.0064,10.6268,5.0196,9.6135
18.5000,25.1875,-0.0266,-0.0547,57.0089,10.6268,5.0196,9.6135
18.6000,25.1875,-0.0124,-0.0547,57.0064,10.6268,5.0196,9.6135
18.7000,25.1875,-0.0296,-0.0469,57.0089,10.6268,5.0196,9.6135
18.8000,25.1875,-0.0127,-0.0413,57.0064,10.6260,5.0196,9.6135
18.9000,25.1875,-0.0311,-0.0405,57.0089,10.6268,5.0196,9.6135
19.0000,25.1875,-0.0262,-0.0379,57.0064,10.6268,5.0196,9.6135
19.1000,25.1875,-0.0338,-0.0532,57.0089,10.6268,5.0196,9.6135
19.2000,25.1875,-0.0266,-0.0472,57.0064,10.6268,5.0196,9.6135
19.3000,25.1875,-0.0210,-0.0416,57.0089,10.6264,5.0196,9.6135
19.4000,25.2500,-0.0229,-0.0720,57.0089,10.6268,5.0196,9.6135
19.5000,25.2500,-0.0049,-0.0690,57.0064,10.6268,5.0196,9.6135
19.6000,25.2500,-0.0094,-0.0529,57.0089,10.6268,5.0196,9.6135
19.7000,25.1875,-0.0124,-0.0495,57.0089,10.6268,5.0196,9.6135
19.8000,25.1875,-0.0326,-0.0435,57.0064,10.6264,5.0194,9.6128
19.9000,25.1875,-0.0214,-0.0551,57.0064,10.6268,5.0196,9.6135
20.0000,25.1875,-0.0356,-0.0439,57.0089,10.6268,5.0196,9.6135
20.1000,25.1875,-0.0360,-0.0484,57.0064,10.6268,5.0196,9.6135
20.2000,25.1875,-0.0274,-0.0544,57.0089,10.6268,5.0196,9.6135
20.3000,25.1875,-0.0390,-0.0416,57.0064,10.6268,5.0196,9.6135
20.4000,25.1875,-0.0113,-0.0484,57.0089,10.6268,5.0196,9.6135
20.5000,25.1875,-0.0139,-0.0596,57.0064,10.6268,5.0196,9.6135
20.6000,25.1875,-0.0135,-0.0656,57.0089,10.6268,5.0196,9.6135
20.7000,25.1875,-0.0225,-0.0525,57.0089,10.6268,5.0196,9.6135
20.8000,25.1875,-0.0278,-0.0518,57.0064,10.6264,5.0196,9.6135
20.9000,25.1250,-0.0131,-0.0570,57.0089,10.6268,5.0196,9.6135
21.0000,25.1250,-0.0101,-0.0416,57.0064,10.6268,5.0196,9.6135
21.1000,25.1875,-0.0322,-0.0608,57.0064,10.6268,5.0196,9.6135
21.2000,25.1875,-0.0255,-0.0476,57.0064,10.6268,5.0196,9.6131
21.3000,25.1875,-0.0315,-0.0506,57.0064,10.6264,5.0196,9.6135
21.4000,25.1875,-0.0221,-0.0540,57.0089,10.6268,5.0196,9.6135
21.5000,25.1875,-0.0386,-0.0709,57.0089,10.6268,5.0196,9.6135
21.6000,25.1875,-0.0536,-0.0701,57.0064,10.6268,5.0196,9.6135
21.7000,25.1875,-0.0431,-0.0596,57.0089,10.6264,5.0196,9.6135
21.8000,25.1875,-0.0450,-0.0806,57.0064,10.6264,5.0196,9.6135
21.9000,25.1875,-0.0439,-0.0454,57.0064,10.6268,5.0196,9.6135
22.0000,25.1875,-0.0315,-0.0566,57.0089,10.6268,5.0196,9.6135
22.1000,25.1875,-0.0397,-0.0615,57.0064,10.6268,5.0196,9.6135
22.2000,25.1875,-0.0255,-0.0360,57.0064,10.6268,5.0196,9.6135
22.3000,25.1875,-0.0375,-0.0742,57.0064,10.6268,5.0188,9.6135
22.4000,25.1875,-0.0499,-0.0529,57.0089,10.6268,5.0196,9.6135
22.5000,25.1875,-0.0428,-0.0379,57.0064,10.6268,5.0196,9.6135
22.6000,25.1875,-0.0514,-0.0712,57.0064,10.6268,5.0196,9.6135
22.7000,25.1875,-0.0562,-0.0510,57.0089,10.6268,5.0196,9.6135
22.8000,25.1875,-0.0514,-0.0604,57.0064,10.6268,5.0196,9.6135
22.9000,25.1875,-0.0416,-0.0604,57.0064,10.6268,5.0196,9.6135
23.0000,25.1875,-0.0476,-0.0593,57.0064,10.6268,5.0196,9.6135
23.1000,25.1875,-0.0495,-0.0547,57.0064,10.6268,5.0196,9.6135
23.2000,25.1875,-0.0457,-0.0637,57.0089,10.6268,5.0196,9.6135
23.3000,25.2500,-0.0345,-0.0634,57.0064,10.6268,5.0196,9.6135
23.4000,25.2500,-0.0315,-0.0660,57.0089,10.6268,5.0196,9.6135
23.5000,25.1875,-0.0443,-0.0746,57.0089,10.6268,5.0196,9.6135
23.6000,25.1875,-0.0461,-0.0739,57.0089,10.6264,5.0196,9.6135
23.7000,25.1875,-0.0431,-0.0683,57.0089,10.6268,5.0196,9.6135
23.8000,25.1875,-0.0461,-0.0716,57.0089,10.6268,5.0192,9.6135
23.9000,25.1875,-0.0341,-0.0544,57.0064,10.6268,5.0196,9.6135
24.0000,25.1875,-0.0386,-0.0555,57.0064,10.6268,5.0196,9.6135
24.1000,25.1875,-0.0394,-0.0510,57.0089,10.6268,5.0196,9.6135
24.2000,25.1875,-0.0251,-0.0559,57.0089,10.6268,5.0196,9.6135
24.3000,25.1875,-0.0503,-0.0491,57.0064,10.6268,5.0196,9.6135
24.4000,25.1875,-0.0472,-0.0690,57.0089,10.6268,5.0196,9.6135
24.5000,25.1875,-0.0416,-0.0593,57.0089,10.6268,5.0196,9.6135
24.6000,25.1875,-0.0334,-0.0581,57.0064,10.6268,5.0196,9.6135
24.7000,25.1875,-0.0330,-0.0596,57.0089,10.6268,5.0196,9.6135
24.8000,25.1875,-0.0461,-0.0604,57.0064,10.6268,5.0190,9.6135
24.9000,25.1875,-0.0409,-0.0503,57.0089,10.6268,5.0196,9.6135
25.0000,25.1875,-0.0382,-0.0634,57.0064,10.6268,5.0196,9.6135
25.1000,25.1875,-0.0364,-0.0690,57.0089,10.6268,5.0196,9.6135
25.2000,25.1875,-0.0439,-0.0649,57.0089,10.6268,5.0196,9.6135
25.3000,25.1875,-0.0382,-0.0409,57.0089,10.6268,5.0192,9.6135
25.4000,25.1875,-0.0259,-0.0716,57.0064,10.6268,5.0196,9.6135
25.5000,25.1875,-0.0338,-0.0401,57.0089,10.6268,5.0196,9.6135
25.6000,25.1875,-0.0413,-0.0731,57.0064,10.6268,5.0196,9.6135
25.7000,25.1250,-0.0413,-0.0551,57.0089,10.6268,5.0196,9.6135
25.8000,25.1250,-0.0210,-0.0611,57.0089,10.6268,5.0196,9.6135
25.9000,25.1250,-0.0255,-0.0544,57.0064,10.6268,5.0196,9.6135
26.0000,25.1875,-0.0356,-0.0559,57.0064,10.6268,5.0196,9.6135
26.1000,25.1875,-0.0514,-0.0611,57.0064,10.6268,5.0196,9.6135
26.2000,25.1875,-0.0420,-0.0667,57.0089,10.6268,5.0196,9.6135
26.3000,25.1875,-0.0367,-0.0532,57.0064,10.6264,5.0196,9.6135
26.4000,25.1875,-0.0311,-0.0724,57.0064,10.6268,5.0196,9.6135
26.5000,25.1875,-0.0487,-0.0611,57.0064,10.6268,5.0196,9.6135
26.6000,25.1875,-0.0416,-0.0615,57.0089,10.6268,5.0196,9.6135
26.7000,25.1875,-0.0555,-0.0562,57.0064,10.6268,5.0196,9.6135
26.8000,25.1875,-0.0330,-0.0491,57.0064,10.6268,5.0190,9.6135
26.9000,25.1875,-0.0600,-0.0551,57.0064,10.6268,5.0196,9.6135
27.0000,25.1875,-0.0514,-0.0709,57.0064,10.6268,5.0196,9.6135
27.1000,25.1875,-0.0608,-0.0630,57.0089,10.6268,5.0196,9.6135
27.2000,25.1875,-0.0503,-0.0611,57.0064,10.6268,5.0196,9.6135
27.3000,25.1875,-0.0457,-0.0506,57.0064,10.6268,5.0196,9.6131
27.4000,25.1875,-0.0446,-0.0795,57.0064,10.6268,5.0196,9.6135
27.5000,25.1875,-0.0397,-0.0626,57.0089,10.6268,5.0196,9.6135
27.6000,25.1875,-0.0420,-0.0716,57.0089,10.6268,5.0196,9.6135
27.7000,25.1875,-0.0465,-0.0698,57.0089,10.6268,5.0196,9.6135
27.8000,25.1875,-0.0487,-0.0600,57.0064,10.6268,5.0194,9.6135
27.9000,25.1875,-0.0608,-0.0578,57.0064,10.6268,5.0196,9.6135
28.0000,25.1875,-0.0409,-0.0637,57.0064,10.6264,5.0196,9.6131
28.1000,25.1875,-0.0360,-0.0679,57.0064,10.6268,5.0188,9.6135
28.2000,25.1875,-0.0544,-0.0596,57.0064,10.6268,5.0196,9.6131
28.3000,25.1875,-0.0446,-0.0772,57.0064,10.6264,5.0182,9.6135
28.4000,25.1875,-0.0375,-0.0589,57.0064,10.6268,5.0186,9.6135
28.5000,25.1875,-0.0589,-0.0675,57.0064,10.6264,5.0196,9.6131
28.6000,25.1875,-0.0510,-0.0615,57.0064,10.6268,5.0186,9.6131
28.7000,25.1875,-0.0525,-0.0705,57.0064,10.6268,5.0196,9.6135
28.8000,25.1875,-0.0630,-0.0589,57.0064,10.6268,5.0196,9.6135
28.9000,25.1875,-0.0514,-0.0694,57.0064,10.6268,5.0196,9.6135
29.0000,25.1875,-0.0499,-0.0653,57.0064,10.6268,5.0196,9.6135
29.1000,25.1875,-0.0487,-0.0765,57.0064,10.6268,5.0196,9.6135
29.2000,25.1875,-0.0420,-0.0589,57.0064,10.6264,5.0196,9.6135
29.3000,25.1875,-0.0401,-0.0671,57.0064,10.6268,5.0190,9.6135
29.4000,25.1250,-0.0353,-0.0622,57.0064,10.6268,5.0196,9.6135
29.5000,25.1250,-0.0596,-0.0742,57.0064,10.6268,5.0196,9.6135
29.6000,25.1875,-0.0536,-0.0694,57.0064,10.6268,5.0192,9.6135
29.7000,25.1875,-0.0386,-0.0705,57.0064,10.6268,5.0196,9.6135
29.8000,25.1875,-0.0555,-0.0626,57.0064,10.6268,5.0196,9.6135
29.9000,25.1875,-0.0472,-0.0574,57.0064,10.6268,5.0196,9.6135
30.0000,25.1875,-0.0424,-0.0637,57.0064,10.6268,5.0196,9.6135
30.1000,25.1875,-0.0397,-0.0637,57.0089,10.6268,5.0196,9.6135
30.2000,25.1875,-0.0585,-0.0698,57.0064,10.6268,5.0196,9.6135
